"Titulo"|"Valor"|"Id"|"Fecha"|"Propiedad"|"Subconcepto"
"House Use                                      "|2|17|"2023-01-12"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|2|18|"2023-01-12"|"Sites BAQ"|"Complimentary                                  "
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-01-13"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|21|15|"2023-01-13"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-13"|"Sites BAQ"|"House Use                                      "
"02 021 Reservas de clientes que visitan la ciu "|4|15|"2023-01-14"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|34|15|"2023-01-14"|"Sites BAQ"|"Huespedes"
"03 032 Reservas de clientes que vienen por neg "|2|15|"2023-01-14"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-14"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|2|18|"2023-01-14"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-01-15"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|5|15|"2023-01-15"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|12|15|"2023-01-15"|"Sites BAQ"|"Huespedes"
"03 032 Reservas de clientes que vienen por neg "|2|15|"2023-01-15"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-15"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-01-16"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|8|15|"2023-01-16"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-16"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-01-17"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-01-17"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|4|15|"2023-01-17"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-17"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-01-17"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|4|15|"2023-01-18"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|2|15|"2023-01-18"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|10|15|"2023-01-18"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|16|15|"2023-01-18"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-18"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-01-19"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-01-19"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|27|15|"2023-01-19"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-19"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|5|15|"2023-01-20"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|11|15|"2023-01-20"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|15|15|"2023-01-20"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-20"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|2|18|"2023-01-20"|"Sites BAQ"|"Complimentary                                  "
"02 021 Reservas de clientes que visitan la ciu "|6|15|"2023-01-21"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|36|15|"2023-01-21"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-21"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-01-22"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|7|15|"2023-01-22"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|6|15|"2023-01-22"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-22"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|5|15|"2023-01-23"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|5|15|"2023-01-23"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-23"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|2|18|"2023-01-23"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|7|15|"2023-01-24"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|3|15|"2023-01-24"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|8|15|"2023-01-24"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|5|15|"2023-01-24"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-24"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|2|18|"2023-01-24"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|5|15|"2023-01-25"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-01-25"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|5|15|"2023-01-25"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|10|15|"2023-01-25"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-25"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|5|18|"2023-01-25"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|5|15|"2023-01-26"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|3|15|"2023-01-26"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|6|15|"2023-01-26"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|16|15|"2023-01-26"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-26"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|5|18|"2023-01-26"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-01-27"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-01-27"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|7|15|"2023-01-27"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|16|15|"2023-01-27"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-27"|"Sites BAQ"|"House Use                                      "
"02 021 Reservas de clientes que visitan la ciu "|12|15|"2023-01-28"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|24|15|"2023-01-28"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-28"|"Sites BAQ"|"House Use                                      "
"02 021 Reservas de clientes que visitan la ciu "|4|15|"2023-01-29"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|14|15|"2023-01-29"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-29"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-01-30"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|6|15|"2023-01-30"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|5|15|"2023-01-30"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-30"|"Sites BAQ"|"House Use                                      "
"01 012 Reservas de clientes que representan em "|1|15|"2023-01-31"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-01-31"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|7|15|"2023-01-31"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|5|15|"2023-01-31"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-01-31"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|6|15|"2023-02-01"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-01"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-02-01"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-01"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|8|15|"2023-02-01"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-01"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|4|15|"2023-02-02"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|2|15|"2023-02-02"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-02"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|4|15|"2023-02-02"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-02"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|11|15|"2023-02-03"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-03"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|10|15|"2023-02-03"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|8|15|"2023-02-03"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-03"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|6|15|"2023-02-04"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-02-04"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|22|15|"2023-02-04"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-04"|"Sites BAQ"|"House Use                                      "
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-02-05"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|18|15|"2023-02-05"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-05"|"Sites BAQ"|"House Use                                      "
"01 016 Reservas de clientes que vienen a la ci "|3|15|"2023-02-06"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|6|15|"2023-02-06"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|13|15|"2023-02-06"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-06"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-02-07"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-07"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-02-07"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-07"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|7|15|"2023-02-07"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-07"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-07"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|5|15|"2023-02-08"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-08"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|4|15|"2023-02-08"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|15|15|"2023-02-08"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-08"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-08"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|11|15|"2023-02-09"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|9|15|"2023-02-09"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|9|15|"2023-02-09"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|9|15|"2023-02-09"|"Sites BAQ"|"Huespedes"
"03 032 Reservas de clientes que vienen por neg "|2|15|"2023-02-09"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-09"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-09"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|24|15|"2023-02-10"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|9|15|"2023-02-10"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|10|15|"2023-02-10"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|14|15|"2023-02-10"|"Sites BAQ"|"Huespedes"
"03 032 Reservas de clientes que vienen por neg "|2|15|"2023-02-10"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-10"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-10"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|22|15|"2023-02-11"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|9|15|"2023-02-11"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|8|15|"2023-02-11"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|17|15|"2023-02-11"|"Sites BAQ"|"Huespedes"
"03 032 Reservas de clientes que vienen por neg "|2|15|"2023-02-11"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-11"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-11"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-02-12"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|1|15|"2023-02-12"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|6|15|"2023-02-12"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-12"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-12"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-02-13"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|2|15|"2023-02-13"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|12|15|"2023-02-13"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-13"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-13"|"Sites BAQ"|"Complimentary                                  "
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-02-14"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|3|15|"2023-02-14"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-02-14"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|7|15|"2023-02-14"|"Sites BAQ"|"Huespedes"
"House Use                                      "|2|17|"2023-02-14"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|1|18|"2023-02-14"|"Sites BAQ"|"Complimentary                                  "
"01 012 Reservas de clientes que representan em "|2|15|"2023-02-15"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|5|15|"2023-02-15"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|15|15|"2023-02-15"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-15"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|4|15|"2023-02-16"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-16"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-16"|"Sites BAQ"|"Huespedes"
"02 022 Reservas de clientes que vienen por oci "|3|15|"2023-02-16"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|17|15|"2023-02-16"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-16"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|9|15|"2023-02-17"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-17"|"Sites BAQ"|"Huespedes"
"02 022 Reservas de clientes que vienen por oci "|3|15|"2023-02-17"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|53|15|"2023-02-17"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-17"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|11|15|"2023-02-18"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-02-18"|"Sites BAQ"|"Huespedes"
"02 022 Reservas de clientes que vienen por oci "|3|15|"2023-02-18"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|61|15|"2023-02-18"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-18"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|3|15|"2023-02-19"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-02-19"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|55|15|"2023-02-19"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-19"|"Sites BAQ"|"House Use                                      "
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-20"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|8|15|"2023-02-20"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-20"|"Sites BAQ"|"House Use                                      "
"02 024 Se refiere a reservas que vienen a la c "|4|15|"2023-02-21"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-21"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-02-22"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-02-22"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|11|15|"2023-02-22"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-22"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-02-23"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-23"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|2|15|"2023-02-23"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|2|15|"2023-02-23"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|17|15|"2023-02-23"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-23"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-02-24"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-02-24"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|5|15|"2023-02-24"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|28|15|"2023-02-24"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-24"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|6|15|"2023-02-25"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|4|15|"2023-02-25"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|28|15|"2023-02-25"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-25"|"Sites BAQ"|"House Use                                      "
"01 015 Reservas de clientes que vienen para ev "|6|15|"2023-02-26"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-02-26"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|3|15|"2023-02-26"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-26"|"Sites BAQ"|"House Use                                      "
"01 015 Reservas de clientes que vienen para ev "|9|15|"2023-02-27"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-02-27"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|17|15|"2023-02-27"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-27"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|4|15|"2023-02-28"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|4|15|"2023-02-28"|"Sites BAQ"|"Huespedes"
"01 015 Reservas de clientes que vienen para ev "|19|15|"2023-02-28"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-02-28"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|18|15|"2023-02-28"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-02-28"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-03-01"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|5|15|"2023-03-01"|"Sites BAQ"|"Huespedes"
"01 015 Reservas de clientes que vienen para ev "|22|15|"2023-03-01"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-03-01"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|17|15|"2023-03-01"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-03-01"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|2|15|"2023-03-02"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-03-02"|"Sites BAQ"|"Huespedes"
"01 015 Reservas de clientes que vienen para ev "|21|15|"2023-03-02"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-03-02"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-03-02"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|19|15|"2023-03-02"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-03-02"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-03-03"|"Sites BAQ"|"Huespedes"
"01 012 Reservas de clientes que representan em "|1|15|"2023-03-03"|"Sites BAQ"|"Huespedes"
"01 015 Reservas de clientes que vienen para ev "|21|15|"2023-03-03"|"Sites BAQ"|"Huespedes"
"01 016 Reservas de clientes que vienen a la ci "|1|15|"2023-03-03"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|12|15|"2023-03-03"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|26|15|"2023-03-03"|"Sites BAQ"|"Huespedes"
"House Use                                      "|1|17|"2023-03-03"|"Sites BAQ"|"House Use                                      "
"01 011 Reservas de clientes que visitan la ciu "|1|15|"2023-03-04"|"Sites BAQ"|"Huespedes"
"01 015 Reservas de clientes que vienen para ev "|5|15|"2023-03-04"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|3|15|"2023-03-04"|"Sites BAQ"|"Huespedes"
"02 024 Se refiere a reservas que vienen a la c "|24|15|"2023-03-04"|"Sites BAQ"|"Huespedes"
"House Use                                      "|4|17|"2023-03-04"|"Sites BAQ"|"House Use                                      "
"Complimentary                                  "|11|18|"2023-03-04"|"Sites BAQ"|"Complimentary                                  "
"01 012 Reservas de clientes que representan em "|3|15|"2023-03-05"|"Sites BAQ"|"Huespedes"
"02 021 Reservas de clientes que visitan la ciu "|1|15|"2023-03-05"|"Sites BAQ"|"Huespedes"
